iter	Passed	Remaining
207	73760	103548
208	74142	103232
209	74500	102881
210	74879	102560
211	75234	102205
212	75584	101843
213	75952	101506
214	76300	101143
215	76644	100772
216	77005	100426
217	77371	100086
218	77748	99759
219	78120	99426
220	78476	99071
221	78833	98718
222	79164	98334
223	79525	97986
224	79926	97687
225	80343	97407
226	80746	97108
227	81114	96768
228	81502	96450
229	81860	96097
230	82305	95845
231	82752	95592
232	83134	95265
233	83439	94849
234	83801	94499
235	84148	94131
236	84561	93838
237	84923	93486
238	85298	93150
239	85654	92792
240	86029	92454
241	86372	92082
242	86727	91724
243	87063	91345
244	87417	90985
245	87766	90620
246	88107	90247
247	88442	89869
248	88777	89490
249	89105	89105
250	89416	88704
251	89739	88314
252	90091	87955
253	90450	87602
254	90803	87242
255	91211	86935
256	91571	86582
257	91926	86225
258	92257	85845
259	92587	85465
260	92946	85111
261	93295	84749
262	93671	84411
263	94054	84078
264	94393	83707
265	94745	83347
266	95098	82988
267	95449	82628
268	95818	82282
269	96124	81884
270	96448	81500
271	96744	81094
272	97062	80707
273	97401	80338
274	97737	79967
275	98111	79626
276	98428	79240
277	98745	78854
278	99085	78487
279	99406	78105
280	99737	77731
281	100066	77356
282	100394	76981
283	100723	76606
284	101083	76256
285	101463	75920
286	101820	75567
287	102159	75200
288	102500	74836
289	102828	74462
290	103175	74102
291	103536	73752
292	103917	73416
293	104315	73091
294	104627	72707
295	104997	72363
296	105347	72004
297	105687	71640
298	106063	71299
299	106410	70940
300	106767	70586
301	107112	70225
302	107464	69869
303	107821	69516
304	108168	69156
305	108503	68789
306	108846	68428
307	109199	68072
308	109530	67703
309	109866	67337
310	110218	66981
311	110559	66619
312	110939	66280
313	111319	65940
314	111676	65587
315	112023	65228
316	112353	64859
317	112663	64480
318	113006	64119
319	113343	63755
320	113683	63393
321	114039	63040
322	114381	62679
323	114729	62322
324	115059	61954
325	115404	61596
326	115740	61232
327	116036	60848
328	116368	60483
329	116674	60105
330	117013	59744
331	117331	59372
332	117669	59011
333	118007	58650
334	118338	58285
335	118692	57933
336	119034	57574
337	119371	57213
338	119731	56863
339	120086	56511
340	120435	56156
341	120745	55783
342	121099	55430
343	121472	55086
344	121804	54723
345	122198	54388
346	122554	54037
347	122892	53677
348	123232	53318
349	123576	52961
350	123916	52602
351	124258	52245
352	124578	51878
353	124931	51525
354	125271	51167
355	125599	50804
356	125945	50448
357	126283	50090
358	126589	49718
359	126919	49357
360	127260	49000
361	127600	48643
362	127968	48296
363	128286	47931
364	128713	47606
365	129063	47252
366	129401	46894
367	129741	46537
368	130064	46174
369	130398	45815
370	130891	45512
371	131289	45175
372	131655	44826
373	132009	44473
374	132362	44120
375	132732	43773
376	133167	43447
377	133495	43085
378	133877	42741
379	134242	42392
380	134595	42038
381	135050	41717
382	135443	41375
383	135837	41034
384	136221	40689
385	136897	40430
386	137482	40143
387	137989	39831
388	138525	39527
389	139064	39223
390	139577	38910
391	140083	38594
392	140579	38274
393	141073	37953
394	141578	37634
395	142049	37306
396	142516	36975
397	142959	36637
398	143328	36281
399	143736	35934
400	144190	35598
401	144638	35260
402	145077	34919
403	145536	34582
404	145979	34242
405	146423	33900
406	146888	33564
407	147307	33216
408	147737	32870
409	148193	32530
410	148612	32181
411	149080	31842
412	149502	31493
413	149929	31144
414	150333	30791
415	150812	30452
416	151281	30111
417	151711	29761
418	152155	29414
419	152604	29067
420	153060	28721
421	153567	28384
422	154066	28045
423	154493	27692
424	154951	27344
425	155416	26997
426	155909	26654
427	156339	26300
428	156774	25946
429	157199	25590
430	157686	25244
431	158115	24888
432	158570	24536
433	158990	24178
434	159390	23816
435	159788	23455
436	160194	23094
437	160687	22745
438	161117	22387
439	161602	22036
440	162078	21683
441	162555	21330
442	163001	20973
443	163477	20618
444	163936	20261
445	164338	19897
446	164791	19538
447	165222	19177
448	165669	18817
449	166114	18457
450	166567	18097
451	167008	17735
452	167431	17371
453	167852	17007
454	168396	16654
455	168926	16299
456	169353	15934
457	169810	15572
458	170304	15212
459	170784	14850
460	171269	14489
461	171681	14120
462	172108	13753
463	172574	13389
464	173037	13024
465	173471	12656
466	173944	12291
467	174391	11924
468	174838	11556
469	175277	11187
470	175698	10817
471	176122	10447
472	176541	10077
473	176969	9707
474	177412	9337
475	177827	8966
476	178280	8596
477	178720	8225
478	179123	7853
479	179531	7480
480	179982	7109
481	180418	6737
482	180879	6366
483	181483	5999
484	181930	5626
485	182363	5253
486	182849	4881
487	183300	4507
488	183726	4132
489	184177	3758
490	184592	3383
491	185069	3009
492	185547	2634
493	186103	2260
494	186610	1884
495	187169	1509
496	187667	1132
497	188235	755
498	188838	378
499	189334	0
