iter	Logloss
165	0.2124896117
166	0.2115976441
167	0.2102404447
168	0.2091608182
169	0.2078858765
170	0.2067283577
171	0.2052225194
172	0.2045511058
173	0.2033819548
174	0.2026041058
175	0.200927815
176	0.2002526404
177	0.1992462051
178	0.1976355163
179	0.1968117298
180	0.195836806
181	0.1947654402
182	0.1939920775
183	0.1931136494
184	0.1923440745
185	0.1917717356
186	0.1902752594
187	0.1885885319
188	0.1869372784
189	0.1862696795
190	0.1850135293
191	0.1838217453
192	0.1826263079
193	0.1811320882
194	0.1793916595
195	0.1788966756
196	0.1780871405
197	0.1772875987
198	0.1762338826
199	0.1752829485
200	0.1737077606
201	0.1730875499
202	0.1723836442
203	0.1711421349
204	0.1701097891
205	0.169128606
206	0.1682343281
207	0.1677315134
208	0.1670212276
209	0.1659281556
210	0.1652120671
211	0.1640013574
212	0.1633378418
213	0.1626904044
214	0.1619332408
215	0.1610708371
216	0.1601949746
217	0.1590267101
218	0.1583966269
219	0.1574601858
220	0.1566217181
221	0.1560613605
222	0.1553779924
223	0.1545360592
224	0.1536106593
225	0.1525622757
226	0.1517221021
227	0.1510583448
228	0.1501442009
229	0.1489929145
230	0.1482509291
231	0.1469892045
232	0.1463265486
233	0.1456606153
234	0.1446549859
235	0.143802401
236	0.1430691464
237	0.1420840142
238	0.1415020043
239	0.1401020641
240	0.1385535254
241	0.1372839968
242	0.1365783584
243	0.1357705157
244	0.1348607775
245	0.1340476426
246	0.1330745052
247	0.1319154551
248	0.1310720041
249	0.1304059096
250	0.1298256995
251	0.1289655793
252	0.1282406256
253	0.1275214343
254	0.1269347097
255	0.126259656
256	0.1251691362
257	0.1244644649
258	0.1235971854
259	0.1226420738
260	0.1217116504
261	0.1207330193
262	0.1195445799
263	0.1188845567
264	0.1187677249
265	0.1179273901
266	0.1172723904
267	0.1161666924
268	0.1152163761
269	0.1147248443
270	0.1135491116
271	0.1122821485
272	0.1114440502
273	0.1103138454
274	0.1096711965
275	0.1091554467
276	0.1084464033
277	0.1077123024
278	0.1069595713
279	0.1060626943
280	0.1049804419
281	0.1043830119
282	0.1033075695
283	0.1027434443
284	0.1020790422
285	0.1012521932
286	0.1005523037
287	0.0998637777
288	0.09917779036
289	0.0986489578
290	0.09810137413
291	0.09757377732
292	0.09693755566
293	0.09678926602
294	0.09601519141
295	0.09514615234
296	0.09506260509
297	0.09418862303
298	0.09347478437
299	0.09298333987
300	0.09208904186
301	0.09126755889
302	0.09066886633
303	0.0901779524
304	0.08955376585
305	0.08863578044
306	0.08808474474
307	0.08742900633
308	0.08687163071
309	0.08621590574
310	0.0857288871
311	0.08497842601
312	0.08412049522
313	0.08340789231
314	0.08298616006
315	0.08246135712
316	0.08235831328
317	0.08193562736
318	0.08133737134
319	0.0812583104
320	0.0807138631
321	0.08010950894
322	0.07957301341
323	0.07901946592
324	0.07891206338
325	0.07844458835
326	0.07836065158
327	0.07828117424
328	0.07773768062
329	0.07701567529
330	0.076944687
331	0.07658149155
332	0.07598118715
333	0.07570975935
334	0.07514530504
335	0.07452199157
336	0.07415384642
337	0.07366312054
338	0.07310981482
339	0.07256054542
340	0.07248448654
341	0.07210685166
342	0.07161391621
343	0.07100047528
344	0.07040587949
345	0.07017188005
346	0.06962445084
347	0.06953842539
348	0.06913338245
349	0.06864784133
350	0.0680202699
351	0.06753558844
352	0.06709740867
353	0.06660760289
354	0.06606127511
355	0.06575483671
356	0.06523920785
357	0.06482290886
358	0.06439402406
359	0.06399428005
360	0.0634238955
361	0.06295474146
362	0.06254236463
363	0.06248847532
364	0.06208879175
365	0.06161923476
366	0.06156078527
367	0.0610557677
368	0.06100142842
369	0.06060326939
370	0.06055044792
371	0.06027517184
372	0.05992996861
373	0.0596391651
374	0.05916588743
375	0.0588373332
376	0.05854072034
377	0.0582507026
378	0.0578354043
379	0.05777907036
380	0.05750155113
381	0.05719296361
382	0.05711740843
383	0.05672266786
384	0.05634034519
385	0.05602277836
386	0.05568561084
387	0.05563358522
388	0.05531210967
389	0.05493514639
390	0.05489384624
391	0.05444935006
392	0.05409812256
393	0.05378928319
394	0.05344240766
395	0.05309994456
396	0.05290321565
397	0.05259538368
398	0.05252244103
399	0.05217377569
400	0.05180738342
401	0.05150569325
402	0.05121371444
403	0.05093311256
404	0.05089260155
405	0.05085573734
406	0.05055736488
407	0.0505173475
408	0.05020980432
409	0.04995095562
410	0.04966220721
411	0.04933284706
412	0.04927902826
413	0.04901366502
414	0.04873474887
415	0.04840178557
416	0.04809731497
417	0.04787002483
418	0.0475285557
419	0.04726215819
420	0.04701921302
421	0.04678187572
422	0.04648534345
423	0.04619820017
424	0.04583998129
425	0.04553399287
426	0.04529678989
427	0.04526435825
428	0.04523145313
429	0.04500130532
430	0.04481247781
431	0.04477429054
432	0.04456923713
433	0.04430720504
434	0.0441409702
435	0.04410791397
436	0.04389424391
437	0.04358401097
438	0.04333144846
439	0.0431238161
440	0.04307891953
441	0.04291828921
442	0.04271091878
443	0.04243986707
444	0.04222520304
445	0.04208707138
446	0.04183122474
447	0.04179816515
448	0.04176377579
449	0.04173408428
450	0.04147241485
451	0.04119334087
452	0.04102625981
453	0.0407522497
454	0.04060120986
455	0.04057456406
456	0.04042620054
457	0.0403921134
458	0.04021428337
459	0.04005563427
460	0.03986645752
461	0.03984195414
462	0.03960040254
463	0.03933471693
464	0.03905556907
465	0.03876128667
466	0.03852419786
467	0.03835764737
468	0.03832481613
469	0.03815059931
470	0.03791828558
471	0.03767557547
472	0.03765095456
473	0.03744310057
474	0.03742454421
475	0.03739884874
476	0.03718518539
477	0.03697923539
478	0.03674648177
479	0.03658620405
480	0.03636626123
481	0.03623607797
482	0.03599551026
483	0.03579013113
484	0.03557576596
485	0.03536853992
486	0.0351695007
487	0.03501123778
488	0.03485087945
489	0.03482680925
490	0.03463631617
491	0.03446265342
492	0.0343080205
493	0.03411970676
494	0.0339389519
495	0.03373580583
496	0.03353833145
497	0.03334978936
498	0.0332345761
499	0.0332130009
