iter	Logloss
0	0.684221402
1	0.677410663
2	0.6702974346
3	0.6629151895
4	0.65465003
5	0.6474015142
6	0.6391837966
7	0.63112952
8	0.6205201485
9	0.6161755844
10	0.6088473898
11	0.6033376774
12	0.5962536772
13	0.589644741
14	0.5835498756
15	0.5762427961
16	0.5707444204
17	0.5661248221
18	0.5608910574
19	0.5541583854
20	0.5484131289
21	0.5434148547
22	0.5390432116
23	0.5360034889
24	0.5322850724
25	0.5266925651
26	0.5213327542
27	0.5181971268
28	0.5133877606
29	0.5074823944
30	0.5030543905
31	0.4987602771
32	0.4954117788
33	0.4916748262
34	0.4878406793
35	0.4843387872
36	0.4801448231
37	0.4751749173
38	0.4717239595
39	0.467690535
40	0.4641026242
41	0.4611261932
42	0.4587371719
43	0.4551255132
44	0.4514807043
45	0.4481354028
46	0.4454536438
47	0.443180729
48	0.4399013251
49	0.4356565341
50	0.4322516213
51	0.4262800082
52	0.4223893394
53	0.4204191288
54	0.4166218395
55	0.4144616463
56	0.4122460862
57	0.4095240311
58	0.4070186615
59	0.4041760673
60	0.4015303061
61	0.3988719457
62	0.3965837989
63	0.3935640362
64	0.3911718449
65	0.387186131
66	0.3849863402
67	0.3826840092
68	0.3814556498
69	0.3790942447
70	0.3773335739
71	0.3746831652
72	0.3711108087
73	0.3683099881
74	0.3658333362
75	0.3609873275
76	0.3589888559
77	0.3566171619
78	0.3542291614
79	0.3530577001
80	0.3508142283
81	0.3479962416
82	0.3453008356
83	0.3416010091
84	0.3395500452
85	0.338242598
86	0.3367590031
87	0.3341971921
88	0.3316532995
89	0.3301950374
90	0.3282238598
91	0.3264616308
92	0.3255572252
93	0.3236859281
94	0.3200411998
95	0.3182176671
96	0.3150853439
97	0.3130164348
98	0.3115158887
99	0.3097576625
100	0.3072072419
101	0.305289658
102	0.3037661969
103	0.3018065439
104	0.3000940941
105	0.297634474
106	0.2963913125
107	0.29467169
108	0.2937845042
109	0.2921785167
110	0.290836388
111	0.289496677
112	0.2881652402
113	0.2873641538
114	0.2857971729
115	0.284495985
116	0.2819182168
117	0.2803829892
118	0.2784158411
119	0.2757396698
120	0.2733928251
121	0.2725077347
122	0.2706238115
123	0.2694706447
124	0.2671588038
125	0.2661530938
126	0.2644980525
127	0.2629806626
128	0.2617076551
129	0.260585382
130	0.2593097418
131	0.2569167446
132	0.2548471907
133	0.2539622884
134	0.2522237805
135	0.2505732792
136	0.2499397708
137	0.2488241599
138	0.2472368428
139	0.2465087729
140	0.244918877
141	0.2428524393
142	0.2418687847
143	0.2401598541
144	0.2395199789
145	0.2381728535
146	0.2369035801
147	0.2350778714
148	0.2342965838
149	0.2331401932
150	0.231616947
151	0.2302897816
152	0.2283551391
153	0.2271853434
154	0.226242737
155	0.2252993382
156	0.2245177417
157	0.2233558037
158	0.2222407838
159	0.220892248
160	0.219579925
161	0.2186651364
162	0.2167517702
163	0.2156921172
164	0.2139007004
